year;title;studios;producers;winner;imageUrl
1997;Anaconda;Columbia Pictures;Verna Harrah, Carole Little and Leonard Rabinowitz;;https://upload.wikimedia.org/wikipedia/en/e/e6/Anaconda_ver2.jpg
1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;;https://upload.wikimedia.org/wikipedia/en/3/37/Batman_%26_Robin_poster.jpg
1997;Fire Down Below;Warner Bros.;Julius R. Nasso and Steven Seagal;;https://upload.wikimedia.org/wikipedia/en/3/33/Fire_Down_Below.jpg
1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont, Steve Perry and Michael Peyser;;https://upload.wikimedia.org/wikipedia/en/f/f3/Speed_two_cruise_control.jpg
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron and Joe Eszterhas;yes;https://upload.wikimedia.org/wikipedia/en/e/e8/Alan_smithee_film_burn_hollywood_burn.jpg
1998;Armageddon;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;;https://upload.wikimedia.org/wikipedia/en/f/fc/Armageddon-poster06.jpg
1998;The Avengers;Warner Bros.;Jerry Weintraub;;https://upload.wikimedia.org/wikipedia/en/d/d7/The_Avengers_%281998_film%29_poster.jpg
1998;Godzilla;TriStar Pictures;Roland Emmerich and Dean Devlin;;https://upload.wikimedia.org/wikipedia/en/2/2e/Godzilla_%281998_Movie_Poster%29.jpg
1998;Spice World;Columbia Pictures;Uri Fruchtan, Mark L. Rosen and Barnaby Thompson;;https://upload.wikimedia.org/wikipedia/en/7/7c/Spice_world.jpg
1999;Wild Wild West;Warner Bros.;Jon Peters and Barry Sonnenfeld;yes;https://upload.wikimedia.org/wikipedia/en/3/31/Wild_wild_west_poster.jpg
1999;Big Daddy;Columbia Pictures;Sidney Ganis and Jack Giarraputo;;https://upload.wikimedia.org/wikipedia/en/c/ca/Big_Daddy_film.jpg
1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie and Gregg Hale;;https://upload.wikimedia.org/wikipedia/en/2/26/Blair_Witch_Project.jpg
1999;The Haunting;DreamWorks;Susan Arthur, Donna Roth and Colin Wilson;;https://upload.wikimedia.org/wikipedia/en/b/ba/The_Haunting_film.jpg
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum and George Lucas;;https://upload.wikimedia.org/wikipedia/en/4/40/Star_Wars_Phantom_Menace_poster.jpg
